Year of Installation,SA,AADT,PRESSURE(bar),MWI_1,A_MAT,LANDUSE,TYPE,LPR_Corros,DEFECT1LV1,DEF_NATURE
1999,12.106584,14720,2.82,11.00509784,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2008,1.825596,1790,7.16,11.30579092,DI,URBAN,FOOTWAY,Non-Corrosive,C02,J
2003,0.950164,16590,5.42,11.40335166,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2008,30.392688,5940,5.5,11.30579092,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1993,26.996778,6760,5.82,11.27962729,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1988,1.852914,26130,12.48,11.27978355,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,17.321025,60280,6.27,11.37413747,DI,RURAL,Other Location,Mildly Corrosive,C05,M
1984,24.625136,,3.74,11.51684161,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2006,0.465976,124610,4.61,11.5477037,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2010,0.487328,59070,6.11,11.64121518,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2004,1.904724,47840,7.64,11.7916027,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1993,0.4084512,17340,5.38,11.5477037,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2003,0.94043,1350,5.21,11.74494881,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,M
1997,27.9236432,35750,3.17,11.54049268,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1997,9.78895,23040,7.03,11.45275071,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1992,0.32185,5900,7.7,11.48974822,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2008,5.319474,810,3.77,11.51668534,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2013,0.495963,10950,7.1,11.45275071,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1991,1.249563,70480,5.36,11.5477037,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1998,0.42547,,7.17,11.49726603,DI,RURAL,Other Location,Highly Corrosive,C01,M
2006,37.707632,98010,6.05,12.19264205,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2007,7.428141,3590,6.02,12.19264205,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2007,4.302585,,3.69,12.45194631,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1994,0.415736,26290,5.92,12.13135009,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1993,1.316916,11060,8.39,12.2625617,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1995,0.621249,34380,6.2,12.45159196,DI,RURAL,Other Location,Highly Corrosive,C01,M
1999,2.23411,12150,5.8,12.20702544,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1997,0.735702,23050,12.03,12.21366271,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1992,0.595972,31010,7.79,12.60601335,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2010,39.823992,79300,12.48,12.10446706,DI,URBAN,Other Location,Non-Corrosive,C05,M
1998,2.889114,3930,12.25,12.06282933,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1985,20.537484,8700,12.48,12.19264205,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
2006,33.118836,,9.9,5.860077301,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2006,33.118836,,9.9,5.860077301,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1998,0.3551968,10290,7.44,12.58117428,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2000,3.556992,14620,9.83,12.19264205,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,12.855788,30610,9.15,12.24735534,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1983,2.918316,9650,5.52,12.0431751,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1989,5.789061,35340,5.29,12.37006978,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1988,3.790608,34390,8.94,12.26340367,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1993,1.816647,11870,6.2,12.37006978,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,M
1998,30.6569504,,1.89,12.13135009,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1994,4.803729,,6.56,12.21015076,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1995,0.90903,,7.17,12.27883956,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2006,8.243128,,3.24,11.79010183,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1994,0.336922,39900,9.22,11.96718144,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,1.2956896,8210,6.55,12.00733044,DI,URBAN,FOOTWAY,Non-Corrosive,C05,M
1998,0.334096,24140,6.33,12.00733044,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1992,1.24187,25960,4.16,12.04317509,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2002,2.701656,10340,4.58,12.00733044,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1986,15.916032,21840,7.78,11.88431418,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1998,16.014942,13180,3.53,12.00779924,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1999,14.2829808,17140,4,11.97390464,DI,RURAL,Other Location,Highly Corrosive,C01,M
2004,1.65792,3880,6.13,11.99700816,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1992,2.980017,310,20.12,11.79827637,DI,RURAL,Other Location,Mildly Corrosive,C03,M
2002,1.756516,10340,4.58,12.00686164,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1999,2.485938,,3.72,11.96051425,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1990,2.826,15890,6.03,11.98435932,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1994,1.385682,18710,6.29,12.06468172,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1983,6.906744,137350,5.42,11.93214237,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,M
2002,0.40035,10170,4.58,42.27918609,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1990,24.983253,20550,6.62,7.943255497,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1997,5.114746,15300,9.22,42.33645982,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,42.260475,,3.6,42.64327351,DI,RURAL,Other Location,Mildly Corrosive,C01,J
2006,0.365496,52120,1.23,42.44791603,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1986,0.465348,15530,12.48,6.72726708,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,13.081868,13750,7.71,42.22838095,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2001,40.306767,5130,4.52,42.35469024,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1989,1.088952,3340,6.57,7.023220629,DI,URBAN,Other Location,Mildly Corrosive,C03,J
1995,2.900418,3840,6.75,42.34533659,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2003,1.531221,26290,7.1,42.32416233,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,J
1985,3.567354,15640,6.03,6.727518001,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
2008,1.533262,21390,4.84,42.27918919,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2001,0.622976,9730,12.11,42.3533043,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2004,1.024896,34720,7.78,42.22838095,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1997,14.1568784,15920,7.71,42.44791603,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1986,1.990446,4220,6.6,42.27913962,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,2.876868,7900,6.27,42.39855689,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1992,1.802046,39840,6.11,42.34714703,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1991,0.756897,113080,6.47,42.44791603,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2005,7.094673,14780,7.79,42.24043344,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1991,1.660275,39840,6.18,42.35044714,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1999,2.910152,,7.31,42.53290687,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1993,227.655024,4090,5.78,42.27918919,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C05,M
2010,82.06547,,5.84,5.799906574,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2011,65.417504,6120,5.89,5.646661682,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1994,3.742252,7550,3.2,6.303612316,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,M
1999,4.826808,19410,5.38,5.408156587,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C02,J
2001,97.279398,33670,8.8,5.621175812,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1996,2.2856688,16490,6.54,5.276107616,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1997,7.701792,18500,9.29,5.623447973,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1986,52.187742,3820,6.27,5.646532952,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
2005,43.306566,31660,1.47,5.602117794,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1991,0.319338,36090,7.58,5.753497433,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2005,40.974645,33490,7.66,5.529186936,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2010,1.031019,3430,4.36,5.529186936,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1989,2.435384,14180,5.6,5.764026894,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
2002,0.1600144,11150,11.11,6.993974175,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1998,7.981566,9980,5.43,6.896067957,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2002,1.3509536,19780,5.3,6.507775659,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1995,3.059616,9170,9.15,6.5087408,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2009,2.908896,13270,5.89,6.507775659,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1983,1.331988,8330,6.33,6.309053838,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1993,1.926861,26070,6.27,6.361042822,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2012,1.836272,100080,4.17,6.309056936,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1996,14.765065,30630,3.69,6.309053838,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2006,0.428924,,8.82,6.391616163,DI,RURAL,Other Location,Mildly Corrosive,C01,J
1986,302.048532,14520,5.93,6.309075523,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1999,1.324452,16340,5,6.198103023,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1951,0.3107344,3490,7.02,6.507775659,DI,URBAN,Other Location,Non-Corrosive,C01,M
2004,0.611358,,12.48,6.309053838,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,0.50397,,5.86,7.166265498,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2010,96.570072,29880,4.83,6.753044226,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1993,3.8481328,10390,12.42,6.309053838,DI,RURAL,Other Location,Non-Corrosive,C01,M
1996,6.2151904,21010,6.47,6.700263996,DI,RURAL,Other Location,Mildly Corrosive,C05,M
1993,2.41623,14310,0.05,7.487483286,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
2003,1.097901,,6.69,7.76198167,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1990,4.548918,71320,4.51,7.668692875,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1999,2.247612,27430,3.62,7.433195864,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,J
2004,0.779976,71320,6.56,7.48806205,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1985,25.85476,2700,0.38,7.693122431,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
2006,0.910443,21160,4.62,7.619003068,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1988,1.249563,7960,12.48,7.668801193,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2002,1.3230704,29460,4.75,7.572169963,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2015,1.055982,1730,11.82,7.563096173,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C05,J
2007,0.9791776,,7.38,8.702265883,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1989,2.128292,15640,5.89,8.439367923,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1984,29.997048,13750,7.71,8.410998869,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1997,14.029834,18500,9.29,8.486425929,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1993,1.934868,5070,1.49,8.448440264,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2010,0.428296,38410,6.18,8.411117672,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2004,1.802046,19330,5.47,8.43935863,DI,RURAL,Other Location,Non-Corrosive,C01,M
2004,0.3976496,,4.18,8.702265883,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1980,7.24398,25280,4.94,8.439367923,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1998,0.471314,,7.24,8.702265883,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2010,14.52564,12350,7.35,8.489303232,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
2002,0.44117,16060,5.53,8.439367923,DI,URBAN,Other Location,Non-Corrosive,C01,M
1996,0.308662,11990,5.67,8.43935863,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1996,0.71435,11990,5.67,8.43935863,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2004,7.292964,19820,5.28,8.763997683,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2004,0.361728,19820,5.28,8.771381342,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
2003,1.610349,37120,7.71,8.773841758,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1993,178.134084,12070,3.93,8.536762204,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1989,54.257316,,5.6,9.089959248,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1991,17.575836,1200,6.1,9.062446221,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1996,1.569372,2770,5.96,9.062446221,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C02,M
1997,13.025976,5800,2.89,8.426285098,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,M
1989,2.626924,3770,5.21,8.963098769,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1999,13.7825904,34090,4.34,11.28844103,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2002,17.578191,16060,5.67,9.062446221,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1998,0.411968,,5.49,8.761081921,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1985,12.026985,21160,4.76,7.958057449,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1998,1.252546,52930,6.04,8.671911698,DI,RURAL,Other Location,Mildly Corrosive,C03,J
1980,25.299765,20840,7.71,8.676310312,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2003,0.482618,,9.15,8.906718146,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,14.48325,2770,5.75,9.139452753,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,8.399186,,5.39,9.041395203,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1986,4.242925,23670,5.35,8.99271159,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2015,12.380706,85070,9.15,8.89518535,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2006,67.712844,6550,5.81,9.041395203,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C04,M
2012,32.496174,2310,9.9,8.062010868,DI,URBAN,FOOTWAY,Non-Corrosive,C03,M
2002,0.4870768,19780,5.3,8.99271159,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1999,125.599372,,4.5,9.19431648,DI,RURAL,Other Location,Highly Corrosive,C01,M
1980,4.976586,2720,7.59,8.780153085,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1989,1.665456,14130,7.71,8.140196937,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2000,5.936484,82880,6.27,9.139455851,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1993,20.100396,11060,4.83,8.245051767,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,M
2006,0.388104,,5.86,9.064121969,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2005,10.570496,,0.52,9.077388797,DI,RURAL,Other Location,Mildly Corrosive,C03,M
2009,0.184004,,6.29,9.085665398,DI,URBAN,Other Location,Mildly Corrosive,C01,J
2007,1.06446,2720,7.93,8.89763899,DI,URBAN,FOOTWAY,Highly Corrosive,C05,M
1993,0.752658,1540,9.83,8.820827222,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1989,99.18004,28120,9.35,8.820827222,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C03,J
2005,10.400622,2720,7.87,8.878737236,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1992,19.733016,6020,0.55,8.343289055,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1997,8.415828,17020,11.26,8.878823974,DI,URBAN,Other Location,Highly Corrosive,C01,M
1989,3.491523,3340,6.64,9.077388797,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
2004,19.485584,,6.03,9.092386274,DI,URBAN,Other Location,Highly Corrosive,C01,M
2007,16.139286,71710,5.53,8.726932535,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
2004,3.310659,1200,6.03,9.09239247,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1993,30.921621,1540,9.9,8.820827222,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2005,0.3175168,2720,7.93,8.901469102,DI,URBAN,Other Location,Highly Corrosive,C01,M
1998,54.672738,,6.33,11.61365003,DI,RURAL,Other Location,Non-Corrosive,C02,M
1997,61.768824,7300,4.28,9.162819542,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1996,8.773317,12070,4.13,8.836423864,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,8.4619232,93680,6.27,8.85002228,DI,RURAL,Other Location,Mildly Corrosive,C05,M
1980,8.1278272,12820,7.09,8.707695318,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1980,5.1025,16630,12.04,8.91810624,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1986,1.628718,14680,12.48,8.707695318,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1992,1.81806,16930,4.02,9.162819542,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1997,3.750416,15300,9.22,8.919223997,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2009,9.10914,10340,3.36,-22.43781417,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C03,J
2009,22.5622816,50270,6.56,8.840212028,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2004,32.523492,3460,8,8.946536982,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1991,11.701995,14810,6.29,8.006718924,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1988,40.029348,2770,5.82,8.946536982,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2004,13.091288,,6.03,8.946536982,DI,URBAN,Other Location,Highly Corrosive,C01,M
2004,0.7960528,15370,7.79,8.900122991,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2008,0.484188,,6.29,8.963948287,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1987,14.279464,19850,7.72,8.702606202,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,0.756426,12960,7.87,8.89523126,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
1999,1.652582,52930,5.84,8.714947305,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2007,0.527206,31420,8.94,8.721140345,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1985,0.529875,20940,6.62,8.89523126,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,0.83367,108050,4.83,8.89523126,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,13.905804,6720,7.71,8.647230772,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1988,1.958418,11260,5.96,8.902689076,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1989,15.204508,43780,7.09,7.267182623,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
2007,5.985154,31420,8.94,8.227353642,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,8.35397,,5.2,8.364352129,DI,RURAL,Other Location,Mildly Corrosive,C02,M
2008,0.903849,,4.06,8.19758619,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,J
1989,0.824721,14580,5.21,7.511044058,DI,RURAL,Other Location,Mildly Corrosive,C05,M
1985,93.683313,32310,6.72,8.141347094,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1996,24.4683872,27500,6.69,8.242204925,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2005,1.536873,21530,6.2,8.212377308,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,77.317005,7870,5.23,7.983538252,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C02,M
1989,3.644912,10140,5.36,7.412663783,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1998,1.923564,11240,6.33,8.261546117,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2002,0.41448,42800,9.69,7.795185061,DI,RURAL,Other Location,Non-Corrosive,C02,M
1999,10.675215,,6.27,8.19758619,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1988,46.251572,86090,7.65,8.091663956,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1983,58.515156,26980,7.79,8.091663956,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2009,1.204347,,6.03,8.261558508,DI,RURAL,Other Location,Highly Corrosive,C01,M
1997,4.774684,86480,6.01,8.261567802,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2004,27.530264,,6.03,8.261546117,DI,URBAN,Other Location,Highly Corrosive,C01,M
1999,0.8480512,4880,7.11,6.98141722,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,0.584511,47700,6.56,7.22203156,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1996,1.061163,8560,3.14,6.94311826,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1989,2.264568,3770,5.21,7.01758605,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1999,59.898954,22950,7.17,6.98141722,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,J
2014,0.1586485,,7.03,6.989654088,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2008,18.715185,10910,6.08,7.01758605,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1999,10.31804,5050,6.06,6.930330835,DI,RURAL,Other Location,Mildly Corrosive,C03,N
2002,3.023192,11160,7.09,6.858168748,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1995,1.464339,9170,9.15,6.994679267,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1993,4.27982,24830,6.33,7.22203156,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1987,2.634303,14280,6.27,6.989654088,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2007,0.392186,3860,6.06,-42.22326432,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1989,33.032172,5550,6.33,-42.22302841,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1997,3.8275344,,7.71,-42.31969634,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1993,34.214068,1310,9.83,-42.50994063,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,9.131905,30770,0.09,-42.22287114,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1990,42.888318,70890,4.24,-42.22326432,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1991,14.52564,97680,4.83,-41.96984924,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
2012,5.902572,29580,2.03,-42.22608488,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1996,5.0358064,43130,7.42,-41.94528518,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2005,2.72552,,1.11,-42.31969634,DI,URBAN,Other Location,Mildly Corrosive,C03,J
2015,0.599112,16110,7.1,-41.96984924,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,J
1996,2.938098,25250,3.63,-42.22342159,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1997,0.572108,16820,11.33,-42.25011471,DI,URBAN,Other Location,Highly Corrosive,C01,M
2004,1.732652,18340,5.05,-42.22342159,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1995,51.86652,13750,6.77,-42.31969634,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1985,2.646078,10980,4.42,-41.96984924,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,3.184588,11910,5.8,-42.22342159,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1997,2.14776,11910,5.73,-42.22342159,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2001,53.231635,9400,6.62,8.438275572,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1997,26.064669,9420,10.38,8.724180973,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1989,0.550128,3490,5.21,8.089909613,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1997,5.078322,22600,6.67,8.045374297,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2002,1.362446,15960,5.6,8.045610205,DI,URBAN,FOOTWAY,Non-Corrosive,C01,J
1980,0.76773,90650,7.17,8.438275572,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C05,J
1999,0.80541,52580,11.42,8.724071138,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1993,95.924802,3110,2.04,8.539358787,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C03,M
1983,7.02104,24690,12.48,8.982400559,DI,URBAN,FOOTWAY,Non-Corrosive,C05,M
1995,0.873234,,6.64,8.1874097,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2014,0.204414,55550,12.48,8.045059754,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1980,6.333066,17090,7.62,8.7191495,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1983,4.871396,24690,12.41,8.198741571,DI,URBAN,FOOTWAY,Non-Corrosive,C05,M
1989,11.659605,,4.36,9.125957735,DI,URBAN,FOOTWAY,Highly Corrosive,C05,J
